Date,Open,High,Low,Close,Volume,Market Cap
May-12-2022,29044.2593,30133.2174,26812.8459,29130.0386,137849705984.000000,543919496621.116000
May-11-2022,31000.9768,32038.59434,28303.80556,28984.5358,103426550994.508000,582283878616.381000
May-10-2022,30106.43456,32574.53986,29853.41454,31024.7033,127314423495.111000,596373223036.446000
May-09-2022,34062.894,34215.7391,30184.77569,30363.86562,77739876770.253500,621850069688.931000
May-08-2022,35478.5649,35496.135,33828.1358,33933.54281,59930329173.333300,657631808942.368000
May-07-2022,36019.5551,36121.83241,34857.2501,35552.564,52179098249.365800,682599940832.809000
May-06-2022,36571.6072,36581.65968,35403.45741,36033.0634,84644729016.888800,688126748876.616000
May-05-2022,39690.0317,39793.9173,35756.46093,36568.7596,71671425773.268300,731324627995.950000
May-04-2022,37723.63989,39925.6099,37677.8973,39699.03396,57656679965.257100,738713445755.202000
May-03-2022,38509.95277,38641.79102,37542.86699,37732.29975,64576497095.111100,728004459988.999000
May-02-2022,38465.5131,39073.38889,38223.90525,38503.90959,65011354367.011500,736164254475.792000
May-01-2022,37636.02142,38615.5987,37572.2298,38467.094,49695227037.820700,723843145851.619000
Apr-30-2022,38600.01985,38767.5896,37653.41243,37660.45292,56363985095.111100,732444173875.627000
Apr-29-2022,39746.6764,39909.9063,38197.3721,38592.00442,67804116465.777700,743673916875.649000
Apr-28-2022,39235.7651,40306.95216,38935.6728,39749.9386,65834105863.160800,753560180406.215000
Apr-27-2022,38115.3023,39364.6236,38028.0629,39248.43928,73618715406.222200,738288778490.726000
Apr-26-2022,40420.00524,40704.66347,37768.63979,38026.74626,67555517226.666600,754629577383.108000
Apr-25-2022,39464.99826,40567.8904,38209.3961,40475.27521,58683004977.951200,746129993085.593000
Apr-24-2022,39441.6583,39846.0109,39140.6639,39479.99697,39181600746.666600,753730386333.313000
Apr-23-2022,39715.1349,39929.32287,39348.95155,39419.5301,61949621809.777700,754477694660.111000
Apr-22-2022,40480.3508,40759.0684,39285.1652,39757.5541,81778114660.251700,763437909024.010000
Apr-21-2022,41353.67676,42940.9,39951.30113,40528.7777,73691646478.222200,792867627807.114000
Apr-20-2022,41493.8019,42130.14252,40954.56863,41363.50366,69240966368.780400,788247505332.267000
Apr-19-2022,40799.9436,41633.6102,40608.30249,41504.4185,70678190372.571400,780493478213.853000
Apr-18-2022,39695.5398,41023.07301,38723.5499,40826.6711,60921696974.222200,754101790795.428000
Apr-17-2022,40374.3856,40565.43548,39617.521,39678.0001,31897051043.555500,766257664501.561000
Apr-16-2022,40554.4702,40645.81037,40005.0641,40386.5108,35562888234.666600,767846795179.578000
Apr-15-2022,39933.8888,40596.1495,39837.74414,40558.127,62222356110.222200,764750253259.713000
Apr-14-2022,41131.7362,41492.7993,39672.10327,39909.71687,111088440361.260000,773019068518.520000
Apr-13-2022,40074.96197,41377.56616,39608.70806,41160.0481,73354177156.475500,769181253554.633000
Apr-12-2022,39529.55042,40609.9682,39302.21334,40169.21512,80791296855.493600,759455472598.450000
Apr-11-2022,42149.9799,42396.2298,39356.5471,39456.93304,80332825508.896700,784059447109.928000
Apr-10-2022,42760.39588,43380.9446,41985.88316,42242.7841,43043982570.666600,812480645848.487000
Apr-09-2022,42251.5612,42788.71116,42173.73075,42788.71116,73792248078.222200,806884426772.892000
Apr-08-2022,43425.24409,43931.43943,42125.0692,42283.4292,66062123279.163700,822794031898.642000
Apr-07-2022,43154.77454,43855.3637,42814.9482,43480.17472,75865888668.444400,825828787135.290000
Apr-06-2022,45479.96945,45479.96945,43138.51947,43138.51947,82230669554.620200,847920145405.888000
Apr-05-2022,46598.16005,47143.74184,45573.53741,45573.53741,107956835470.222000,880592114003.393000
Apr-04-2022,46429.49649,46853.4882,45201.06871,46605.60297,75797947520.000000,874912902658.644000
Apr-03-2022,45793.52919,47331.9547,45556.13118,46430.69671,53182050972.444400,880120047929.849000
